id,name,address,district,province
1905540,V-Hotel,"510, Võ Nguyên Giáp, Quận Ngũ Hành Sơn, Đà Nẵng, Việt Nam",Quận Ngũ Hành Sơn,Đà Nẵng
1916871,Awaken Danang Hotel,"148, Võ Nguyên Giáp, Quận Sơn Trà, Đà Nẵng, Việt Nam",Quận Sơn Trà,Đà Nẵng
1920511,KOI Resort & Residence Da Nang - Inclusive Spa access,"Room 174, 14 Floors, Truong Sa Street, Hoa Hai Ward, Ngu Hanh Son District, Da Nang City, Vietnam",Quận Ngũ Hành Sơn,Đà Nẵng
1920677,Villa SuSu,"28 Nguyễn Hữu An, Đường Nguyễn Hữu An, Quận Sơn Trà, Đà Nẵng, Việt Nam",Quận Sơn Trà,Đà Nẵng
1958583,Căn hộ & Biệt thự LaHome (LAHOME APARTMENT AND VILLA),"03 Võ Nghĩa, Phước Mỹ, Sơn Trà, Đà Nẵng, Võ Nghĩa, Quận Sơn Trà, Đà Nẵng, Việt Nam",Quận Sơn Trà,Đà Nẵng
1958646,Mangala Zen Garden & Luxury Apartments,"J02 The Ocean Villas, Vietnam, Ngũ Hành Sơn, Đà Nẵng, Trường Sa, Quận Ngũ Hành Sơn, Đà Nẵng, Việt Nam",Quận Ngũ Hành Sơn,Đà Nẵng
1958679,"Biệt thự 1000 m² 9 phòng ngủ, 9 phòng tắm riêng ở Phước Mỹ (LUXURY VILLA RETREAT IN DANANG 9 BEDROOM)","82b Chế Lan Viên, Bắc Mỹ An, Ngũ Hành Sơn, Đà Nẵng , Chế Lan Viên, Quận Ngũ Hành Sơn, Đà Nẵng, Việt Nam",Quận Ngũ Hành Sơn,Đà Nẵng
1958689,Khách Sạn & Spa Salmalia Boutique (Salmalia Boutique Hotel & Spa),"52 Đ. Lâm Hoành, Phước Mỹ, Sơn Trà, Đà Nẵng , Lâm Hoành, Quận Sơn Trà, Đà Nẵng, Việt Nam",Quận Sơn Trà,Đà Nẵng
1958700,Mixay Boutique Hotel Da Nang,"41 Võ Nghĩa, Phước Mỹ, Sơn Trà, Đà Nẵng , Võ Nghĩa, Quận Sơn Trà, Đà Nẵng, Việt Nam",Quận Sơn Trà,Đà Nẵng
1958727,"Chung cư 140 m² 3 phòng ngủ, 3 phòng tắm riêng ở Hòa Hải (RUNG HUONG APARTMENT TN (PARK HANG SEO ))","488 Võ Nguyên Giáp, Khuê Mỹ, Ngũ Hành Sơn, Đà Nẵng, Võ Nguyên Giáp, Quận Ngũ Hành Sơn, Đà Nẵng, Việt Nam",Quận Ngũ Hành Sơn,Đà Nẵng
